method,profile,accuracy,mean_latency_ms,p95_latency_ms,deadline_miss_rate,mean_upload_kb,mean_energy_j,exit_rate,offload_rate,local_rate,selective_error,action_cloud_raw_rate,action_split_l1_rate,action_split_l2_rate,action_split_l3_rate,action_local_full_rate,dataset,seed,alpha
coda_sc,wifi,0.9951666666666666,21.50799288294836,41.8829,0.003416666666666667,0.049416666666666664,0.009790058583333332,0.9505833333333333,0.049416666666666664,0.0,0.0021039712457263083,0.049416666666666664,0.0,0.0,0.0,0.0,mnist,13,0.1
coda_risk,wifi,0.9946666666666667,21.504074834079102,41.8829,0.0005833333333333334,0.008,0.010597904166666667,0.992,0.008,0.0,0.003276209677419355,0.008,0.0,0.0,0.0,0.0,mnist,13,0.1
local_only,lte,0.9966666666666667,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,13,0.1
cloud_only,lte,0.9966666666666667,76.99968051229371,134.79915815871007,0.48383333333333334,1.0,0.0005000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,13,0.1
static_split,lte,0.9966666666666667,76.99968051229371,134.79915815871007,0.48383333333333334,1.0,0.0005000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,13,0.1
oracle_split,lte,0.9966666666666667,76.99968051229371,134.79915815871007,0.48383333333333334,1.0,0.0005000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,13,0.1
confidence_exit,lte,0.98575,19.65677607379457,19.199,0.00016666666666666666,0.00016666666666666666,0.009820568,0.9998333333333334,0.00016666666666666666,0.0,0.014169028171361894,0.00016666666666666666,0.0,0.0,0.0,0.0,mnist,13,0.1
branchynet,lte,0.97775,19.227354875000007,19.199,0.0,0.0,0.009614176249999997,1.0,0.0,0.0,0.02225,0.0,0.0,0.0,0.0,0.0,mnist,13,0.1
deadline_greedy,lte,0.9966666666666667,76.99968051229371,134.79915815871007,0.48383333333333334,1.0,0.0005000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,13,0.1
aodpart,lte,0.98575,19.650131366666674,19.199,0.0,0.0,0.009825549,0.9998333333333334,0.0,0.00016666666666666666,0.014169028171361894,0.0,0.0,0.0,0.0,0.00016666666666666666,mnist,13,0.1
conformal_exit,lte,0.9951666666666666,23.359993467168994,50.71395169781275,0.024916666666666667,0.049416666666666664,0.009790058583333332,0.9505833333333333,0.049416666666666664,0.0,0.0021039712457263083,0.049416666666666664,0.0,0.0,0.0,0.0,mnist,13,0.1
crc_exit,lte,0.9946666666666667,21.847766668606308,41.8829,0.003916666666666666,0.008,0.010597904166666667,0.992,0.008,0.0,0.003276209677419355,0.008,0.0,0.0,0.0,0.0,mnist,13,0.1
coda_sc,lte,0.9951666666666666,22.533006941666677,60.7726,0.0,0.0,0.011266925083333334,0.9505833333333333,0.0,0.049416666666666664,0.0021039712457263083,0.0,0.0,0.0,0.0,0.049416666666666664,mnist,13,0.1
coda_risk,lte,0.9946666666666667,21.673145350000006,41.8829,0.0,0.0,0.010836992166666667,0.992,0.0,0.008,0.003276209677419355,0.0,0.0,0.0,0.0,0.008,mnist,13,0.1
local_only,congested,0.9966666666666667,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,13,0.1
cloud_only,congested,0.9966666666666667,135.30500548756086,272.83811026063375,0.852,1.0,0.0005000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,13,0.1
static_split,congested,0.9966666666666667,135.30500548756086,272.83811026063375,0.852,1.0,0.0005000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,13,0.1
oracle_split,congested,0.9966666666666667,135.30500548756086,272.83811026063375,0.852,1.0,0.0005000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,13,0.1
confidence_exit,congested,0.98575,19.674323861580945,19.199,0.00016666666666666666,0.00016666666666666666,0.009820568,0.9998333333333334,0.00016666666666666666,0.0,0.014169028171361894,0.00016666666666666666,0.0,0.0,0.0,0.0,mnist,13,0.1
