method,profile,accuracy,mean_latency_ms,p95_latency_ms,deadline_miss_rate,mean_upload_kb,mean_energy_j,exit_rate,offload_rate,local_rate,selective_error,action_cloud_raw_rate,action_split_l1_rate,action_split_l2_rate,action_split_l3_rate,action_local_full_rate,dataset,seed,alpha,bottleneck_channels,bottleneck_epochs,raw_input_scale
cloud_only,wifi,0.9403333333333334,69.07270022461073,109.97619743719737,0.3115833333333333,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,fashion_mnist,7,0.1,8,8,128.0
deadline_greedy,wifi,0.9280833333333334,56.690334630173226,94.89567062950645,0.14466666666666667,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,fashion_mnist,7,0.1,8,8,128.0
oracle_split,wifi,0.9285,56.6337595580204,94.89497871414584,0.14425,6.2735,0.01060747241666667,0.0,1.0,0.0,0.0,0.033916666666666664,0.9660833333333333,0.0,0.0,0.0,fashion_mnist,7,0.1,8,8,128.0
coda_split_controller,wifi,0.9280833333333334,56.690334630173226,94.89567062950645,0.14466666666666667,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,fashion_mnist,7,0.1,8,8,128.0
coda_controller,wifi,0.9403333333333334,60.773585907161156,60.7726,0.00025,0.0026666666666666666,0.030357129333333337,0.0,0.0013333333333333333,0.9986666666666667,0.0,0.0,0.0013333333333333333,0.0,0.0,0.9986666666666667,fashion_mnist,7,0.1,8,8,128.0
cloud_only,lte,0.9403333333333334,170.67228337444666,278.55424799725586,0.9954166666666666,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,fashion_mnist,7,0.1,8,8,128.0
deadline_greedy,lte,0.9280833333333334,93.19440367628013,150.81821734506866,0.6735833333333333,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,fashion_mnist,7,0.1,8,8,128.0
oracle_split,lte,0.9280833333333334,93.19432889244872,150.81821734506866,0.6735833333333333,2.021,0.00874221116666667,0.0,1.0,0.0,0.0,0.00016666666666666666,0.9998333333333334,0.0,0.0,0.0,fashion_mnist,7,0.1,8,8,128.0
coda_split_controller,lte,0.9280833333333334,93.19440367628013,150.81821734506866,0.6735833333333333,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,fashion_mnist,7,0.1,8,8,128.0
coda_controller,lte,0.9403333333333334,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,fashion_mnist,7,0.1,8,8,128.0
cloud_only,congested,0.9403333333333334,425.02667024271824,861.1658766064485,0.9999166666666667,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,fashion_mnist,7,0.1,8,8,128.0
deadline_greedy,congested,0.9280833333333334,153.49486326742087,295.1642721529632,0.9281666666666667,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,fashion_mnist,7,0.1,8,8,128.0
oracle_split,congested,0.9280833333333334,153.49215786428448,295.1642721529632,0.9281666666666667,1.998875,0.008740935750000003,0.0,1.0,0.0,0.0,0.0,0.99925,0.00075,0.0,0.0,fashion_mnist,7,0.1,8,8,128.0
coda_split_controller,congested,0.9280833333333334,153.49486326742087,295.1642721529632,0.9281666666666667,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,fashion_mnist,7,0.1,8,8,128.0
coda_controller,congested,0.9403333333333334,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,fashion_mnist,7,0.1,8,8,128.0
cloud_only,mixed,0.9403333333333334,375.79405303201713,1129.1710996268607,0.969,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,fashion_mnist,7,0.1,8,8,128.0
deadline_greedy,mixed,0.9280833333333334,203.07740142262625,558.1723041017165,0.8466666666666667,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,fashion_mnist,7,0.1,8,8,128.0
oracle_split,mixed,0.9285833333333333,202.9781062015035,558.1723041017165,0.8456666666666667,4.641,0.009928877000000003,0.0,1.0,0.0,0.0,0.021,0.9756666666666667,0.0033333333333333335,0.0,0.0,fashion_mnist,7,0.1,8,8,128.0
coda_split_controller,mixed,0.9280833333333334,203.07740142262625,558.1723041017165,0.8466666666666667,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,fashion_mnist,7,0.1,8,8,128.0
