method,profile,accuracy,mean_latency_ms,p95_latency_ms,deadline_miss_rate,mean_upload_kb,mean_energy_j,exit_rate,offload_rate,local_rate,selective_error,action_cloud_raw_rate,action_split_l1_rate,action_split_l2_rate,action_split_l3_rate,action_local_full_rate,dataset,seed,alpha,raw_input_scale,payload_scale
oracle_split,mixed,0.9975,196.0479792844591,533.7666637376716,0.872,4.750166666666667,0.009923267166666664,0.0,1.0,0.0,0.0,0.021833333333333333,0.9773333333333334,0.0008333333333333334,0.0,0.0,mnist,101,0.1,128.0,0.125
coda_split_controller,mixed,0.9975,196.1325037795255,534.3217717701694,0.8728333333333333,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,101,0.1,128.0,0.125
coda_controller,mixed,0.9975,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,101,0.1,128.0,0.125
cloud_only,wifi,0.9396666666666667,69.09062901895958,109.26918977139837,0.31183333333333335,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,fashion_mnist,7,0.1,128.0,0.125
deadline_greedy,wifi,0.9396666666666667,56.545326266166576,94.72520025631258,0.14183333333333334,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,fashion_mnist,7,0.1,128.0,0.125
oracle_split,wifi,0.9396666666666667,56.48550134442772,94.72520025631258,0.1415,6.347,0.010614608499999997,0.0,1.0,0.0,0.0,0.0345,0.9655,0.0,0.0,0.0,fashion_mnist,7,0.1,128.0,0.125
coda_split_controller,wifi,0.9396666666666667,56.545326266166576,94.72520025631258,0.14183333333333334,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,fashion_mnist,7,0.1,128.0,0.125
coda_controller,wifi,0.9396666666666667,60.774431014322325,60.7726,0.0005,0.005333333333333333,0.030328189333333342,0.0,0.0026666666666666666,0.9973333333333333,0.0,0.0,0.0026666666666666666,0.0,0.0,0.9973333333333333,fashion_mnist,7,0.1,128.0,0.125
cloud_only,lte,0.9396666666666667,171.39090963522386,282.45149046068565,0.996,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,fashion_mnist,7,0.1,128.0,0.125
deadline_greedy,lte,0.9396666666666667,93.44947653450487,152.87525983405655,0.6706666666666666,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,fashion_mnist,7,0.1,128.0,0.125
oracle_split,lte,0.9396666666666667,93.44947653450487,152.87525983405655,0.6706666666666666,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,fashion_mnist,7,0.1,128.0,0.125
coda_split_controller,lte,0.9396666666666667,93.44947653450487,152.87525983405655,0.6706666666666666,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,fashion_mnist,7,0.1,128.0,0.125
coda_controller,lte,0.9396666666666667,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,fashion_mnist,7,0.1,128.0,0.125
cloud_only,congested,0.9396666666666667,428.4652916427377,855.6878916761285,0.9998333333333334,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,fashion_mnist,7,0.1,128.0,0.125
deadline_greedy,congested,0.9396666666666667,153.87572088129306,299.027903745418,0.9256666666666666,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,fashion_mnist,7,0.1,128.0,0.125
oracle_split,congested,0.9396666666666667,153.87572088129306,299.027903745418,0.9256666666666666,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,fashion_mnist,7,0.1,128.0,0.125
coda_split_controller,congested,0.9396666666666667,153.87572088129306,299.027903745418,0.9256666666666666,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,fashion_mnist,7,0.1,128.0,0.125
coda_controller,congested,0.9396666666666667,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,fashion_mnist,7,0.1,128.0,0.125
cloud_only,mixed,0.9396666666666667,365.60772455483647,1088.9783619378084,0.9698333333333333,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,fashion_mnist,7,0.1,128.0,0.125
deadline_greedy,mixed,0.9396666666666667,198.2547177425866,542.1173020128455,0.8506666666666667,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,fashion_mnist,7,0.1,128.0,0.125
oracle_split,mixed,0.9396666666666667,198.1741718723758,542.1173020128455,0.8495,4.54,0.009832919499999999,0.0,1.0,0.0,0.0,0.020166666666666666,0.9788333333333333,0.001,0.0,0.0,fashion_mnist,7,0.1,128.0,0.125
coda_split_controller,mixed,0.9396666666666667,198.2547177425866,542.1173020128455,0.8506666666666667,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,fashion_mnist,7,0.1,128.0,0.125
coda_controller,mixed,0.9396666666666667,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,fashion_mnist,7,0.1,128.0,0.125
cloud_only,wifi,0.942,69.25601750236157,111.32984036905258,0.31233333333333335,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,fashion_mnist,13,0.1,128.0,0.125
